cod,denumire,um,tva,den_tip,stoc,grupa,pret_vanz,pret_v_tva,is_valuta,cod_bare,cod_fe,cod_cpv,plu,tip,pret_vanz2,pret_v_tv2,blocat,brut,cant_min,text_supl,garantie,greutate,ok,is_lot,cod_cer,categorie,cod_sgr,volum,tip_a,tara_orig,greutate_b
"00000050","BRETELE REF","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000051","PANTOFI GRINDLOW S1P-45","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000052","OCHELARI V9300","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000053","CLESTE INSTALATOR","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000054","DERULATOR 4 PRIZE","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000055","CUTIE SCULE PRO MEDIUM","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000056","CUTIE SCULE PRO MOBILE","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000057","SCARA AL 2 TRONS","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000058","AEROTERMA CERAMICA 2000W","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000059","ROLA 100M","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000060","ROLA 50M","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000061","STANLEY INVERTOR PORTABIL MONOFAZAT","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000062","SIRIUS NEGRU","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000063","TEL SAMSUNG GALAXI A70","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000064","TERMOMETRU ELECTRONIC ENERGY","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000065","RANGE EXTENDER TP LINK RE200 DUAL","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000066","LED TV 23.6'' HD SMART 24TL510S","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000067","X ULTRA 3 MID GTX SARGASSO GHETE LUCRU","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000068","VESTA SH100 X WARM","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000069","JAKET SH100 X WARM","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000070","INCALTAMINTE SH100 B","PER",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000071","CAMERA SUPRAVEGHERE DEPOZIT","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000072","APARAT AER COND.","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000073","INSTALATIE HWAC","",19.00,"Servicii",0.000,"",0.0000,0.0000,0,0,"","",0,"20",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000074","LUCRARE INSTAL ELECTRO CIUFI","",19.00,"Servicii",0.000,"",0.0000,0.0000,0,0,"","",0,"20",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000075","JACHETA ARIC FRENCH  BLU A2","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000076","DREPTAR AL 300CM","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000077","SCARA AL 3X9","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000078","BORMASINA SUPORT 3G","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000079","COMPRESOR3G","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000080","REDUCTOR AZOT","BUC",19.00,"Marfuri",0.000,"",0.0000,0.0000,0,0,"","",0,"01",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000081","PISCINA CADRU METALIC 400X211X81CM","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000082","CONBINA FRIGORIFICA ZANUSSI","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000083","CANTAR ELECTRONIC","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000084","MAKITA CIOCAN ROTOPERCUTOR","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000085","FRITEUZA TEFAL","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000086","POMPA CU PISTON IDO DAMBAT PR 50","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000087","MONOMETRU RF 100","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000088","ANCORA INGROPATA HKD M8X40","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000089","ANCORA INGROPATA HKD M10X40","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000090","GENERATOR DE AER","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000091","INCARCATOR BATERIE AUTO","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000092","REGULATOR DE PRESIUNE","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000093","APARAT DE INCALZIRE","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000094","PAVILION 3X6M","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000096","BUTELIE AZOT","BUC",19.00,"Alte mat. consumabile",0.000,"",0.0000,0.0000,0,0,"","",0,"16",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000097","REDUCTOR AZ MATERIAL","BUC",19.00,"Alte mat. consumabile",0.000,"",0.0000,0.0000,0,0,"","",0,"16",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000098","LUCRARE MUSAI FOOD","BUC",19.00,"Servicii",0.000,"",0.0000,0.0000,0,0,"","",0,"20",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000099","LUCRARE PARAMOUNT INVESTMENT","BUC",19.00,"Servicii",0.000,"",0.0000,0.0000,0,0,"","",0,"20",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
